1;1;326;0;90;11111;-2;-2;-1;11111;2;-1;-0;0;2;0;0;0;0
0.25;1;326;0;30;11111;-2;-2;-1;11111;2;-1;0;0;2;0;0;1;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.55;-1;0;3;3;0;0;0;0
0.8;1;135;0;73;11111;-2;-2;-1;11111;1.5;-1;0;0;2;0;0;0;0
0.8;1;305;0;3;11111;-2;-2;-1;11111;0.5;-1;0;0;2;0;0;0;0
0.5;0;0;-1;999;11111;-2;-2;-1;11111;2;-1;0;0;2;0;1;0;0
0;0;0;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;4;0;0;0;1
0;0;0;-1;999;11111;-2;-2;-1;11111;5;-1;0;1;1;1;0;0;0
0.2;0;180;-1;999;11111;-2;-2;-1;11111;0.75;-1;0;0;2;0;0;0;0
0.8;1;270;0;15;11111;-2;-2;-1;11111;2;-1;0;0;2;0;0;0;0
0.8;1;325;0;999;11111;-2;-2;-1;11111;3;-1;0;0;2;0;0;1;0
0.5;1;0;0;999;11111;-2;-2;-1;11111;0.25;-1;0;0;2;0;0;0;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.55;-1;0;3;5;0;0;0;0
0.8;1;135;0;77;11111;-2;-2;-1;11111;2;-1;0;0;2;0;0;0;0
0.8;1;305;0;3;11111;-2;-2;-1;11111;2;-1;0;0;2;0;0;0;0
0.5;0;0;-1;999;11111;-2;-2;-1;11111;1.5;-1;0;0;2;0;1;1;0
0.2;0;0;-1;999;11111;-2;-2;-1;11111;1;-1;0;1;4;0;0;0;1
0.2;0;180;-1;999;11111;-2;-2;-1;11111;0.75;-1;0;1;1;0;0;0;0
0.2;0;180;-1;999;11111;-2;-2;-1;11111;0.75;-1;0;0;2;0;0;0;0
0.8;1;270;0;15;11111;-2;-2;-1;11111;2;-1;0;0;2;0;0;0;0
0.8;1;325;0;999;11111;-2;-2;-1;11111;3;-1;0;0;2;0;0;1;0
0.5;1;0;0;999;11111;-2;-2;-1;11111;0.25;-1;0;0;2;0;0;0;0
0;0;30;180;999;11111;-2;-2;-1;11111;0.55;-1;0;3;5;0;0;0;0
0.4;1;180;0;10;11111;-2;-2;-1;11111;2;-1;0;0;2;0;0;0;0
0;0;85;0;999;11111;-2;-2;-1;11111;-1;-1;0;0;2;0;0;0;0
